ID,Name,Age,Gender,City,Country,CreditCard,FullAddress,UserSignUpDate,UserLastPurchaseDate,UserStatus,UserTotalPurchases,UserSegment,UserLocation,UserSourceType,UserLastLoginDate,UserPurchaseFrequency,Product Name,Category,Subcategory,Price,Date_Purchase,Quantity,Rating,Comment
1189,Christopher Gray,97,M,Sawyerborough,Saint Barthelemy,5459724682448717,"3455 Roberto Lodge Apt. 650, New Matthew, SC 86557",2023-04-12,2023-08-05,Active,11,High Value,New Evanfort,Referral,2023-08-07,Monthly,SofaPlus,Furniture,Sofa,340,2022-08-07,9,5,Strong energy center.
841,Jordan Davies,56,F,New Mauriceton,Guadeloupe,2372779456534853,"44038 Elizabeth Plaza Apt. 188, Robertburgh, ND 20256",2023-06-11,2023-07-09,Active,3,Occasional Shopper,Port Lisamouth,Referral,2023-08-13,Yearly,JacketFits,Clothing,Jacket,202,2021-11-20,10,5,Detail economy outside knowledge idea.
448,Martin Barron,-2,M,North Juan,Brunei Darussalam,2650886726007702,"734 Barry Way, Melaniemouth, NM 62833",2021-11-19,2022-12-10,Churned,13,High Value,South Dylan,Organic Search,2023-05-09,Yearly,LaptopPro,Electronics,Laptop,-14,2022-01-07,-1,5,Hair keep ten season doctor song debate.
754,Krista Warren,4,F,Port Franciscoton,Malta,2283171130864898,"041 Bentley Circles, Marymouth, AL 35670",2021-11-11,2023-05-16,Churned,5,Occasional Shopper,Moorehaven,Referral,2023-05-22,Yearly,LaptopPro,Electronics,Laptop,-62,2020-12-08,3,0,Level various somebody.
567,Sarah Mcdonald,31,F,Cynthiafurt,Niue,2709883108415844,"50264 Donald Isle Suite 293, Millerfort, CT 38223",2022-12-14,2023-08-16,Active,12,High Value,Jordanstad,Organic Search,2023-08-16,Monthly,Non-fictionGuide,Books,Non-fiction,838,2022-07-10,8,4,Commercial several future bag east team.
619,Brian Pierce,150,M,New Danielle,Chad,2412855913198094,"75970 Barbara Meadow, Richardbury, NY 70392",2022-03-04,2022-10-05,Churned,2,Occasional Shopper,Gomezland,Referral,2022-11-16,Yearly,LaptopPro,Electronics,Laptop,-68,2021-07-03,-1,6,Fund my environmental.
1184,Barbara Mccoy,-3,F,Lukeville,Liechtenstein,2280282457790252,"65540 Samuel Underpass Apt. 835, Johnsonfurt, IA 95032",2022-02-16,2023-05-19,Churned,3,Occasional Shopper,Port Denisemouth,Organic Search,2023-08-10,Yearly,PantsFits,Clothing,Pants,-68,2022-06-06,6,-1,Statement price college describe in rule.
492,Stephen Jackson,150,M,North Jameshaven,Saint Martin,2298222201147805,"USS Cervantes, FPO AP 85368",2022-11-02,2023-05-25,Churned,8,Frequent Shopper,Lake Darrylburgh,Organic Search,2023-07-08,Yearly,ComfortChair,Furniture,Chair,-34,2021-12-14,5,1,People property company hot traditional war treatment stand.
385,Paula Campbell,150,M,Amandastad,Mauritania,5126829586169823,"83290 Susan Garden, Lake Danielle, ME 10604",2022-07-16,2022-12-09,Churned,13,High Value,West Douglas,Paid Ads,2023-05-19,Yearly,ChairDeluxe,Furniture,Chair,-28,2023-07-09,-2,4,Kid call trial old soon over.
741,Suzanne Mcpherson,35,F,West Brandonton,Mexico,2295459106923897,"55882 Mccoy Village, Middletonberg, HI 72561",2021-11-20,2022-04-11,Churned,3,Occasional Shopper,South Markville,Paid Ads,2023-03-26,Rarely,ComfortChair,Furniture,Chair,329,2022-09-17,-2,0,Together outside song tend plan adult such.
281,Tammy Neal,-3,F,Glendamouth,Japan,2619146869939306,"3395 Nunez Summit Apt. 048, Port Ginaland, NE 38011",2021-12-25,2023-01-16,Churned,4,Occasional Shopper,Port Ryan,Paid Ads,2023-06-03,Yearly,JacketFits,Clothing,Jacket,507,2021-12-05,5,0,Information up early upon thought shake.
745,Curtis Wilson,150,M,East Emily,Norway,5420172562556280,"28084 Barber Gardens, Sosaborough, NV 90197",2023-05-12,2023-06-29,Active,3,Occasional Shopper,Tammyshire,Paid Ads,2023-07-19,Yearly,ComfortSofa,Furniture,Sofa,879,2021-04-29,-3,6,Necessary send economy item individual.
1224,Mark Wells,150,M,East Nathan,Syrian Arab Republic,2258908134596583,"0994 Johnston Passage Suite 468, West Eric, GA 29990",2023-02-27,2023-06-26,Active,14,High Value,Port Monique,Referral,2023-08-05,Yearly,The Art of Educational,Books,Educational,-10,2023-02-27,-2,2,Point simply involve foreign west.
483,Mrs. Catherine Howard,60,F,Port Gabriel,Cambodia,2245581222920282,"912 Rebecca Views, Brittanyside, DC 44113",2022-11-24,2023-08-09,Active,5,Occasional Shopper,East Brandonland,Referral,2023-08-10,Monthly,FreshVegetables,Grocery,Vegetables,-77,2022-04-30,-4,4,In once image easy yourself.
1108,Latoya Park,150,F,East Michael,Monaco,2296757755149444,"99677 Hopkins Divide, Riveraside, MP 64795",2022-08-21,2023-07-18,Active,1,Occasional Shopper,East Shawnmouth,Organic Search,2023-08-25,Yearly,UltraLaptop,Electronics,Laptop,505,2022-05-04,1,5,Fight under all ever.
282,Daniel Lynn,70,M,Brightland,Svalbard & Jan Mayen Islands,2704164830353479,"91854 Michelle Radial, Collinshaven, IA 11966",2022-09-06,2023-05-03,Churned,9,Frequent Shopper,East Crystal,Paid Ads,2023-06-17,Yearly,TastySnacks,Grocery,Snacks,-57,2021-05-17,6,0,Middle voice allow fish daughter also sell.
437,Alison Morgan,150,F,West Daniel,Togo,2234671815702362,"73040 Cortez Squares Apt. 769, Gabrielaview, OR 51326",2022-11-02,2022-11-17,Churned,2,Occasional Shopper,Thomashaven,Organic Search,2023-04-22,Yearly,SnacksBurst,Grocery,Snacks,629,2021-05-30,8,2,Energy Mrs involve and old town rock here.
1265,Tara Nguyen,150,F,South Jennifertown,Kuwait,2226735487530714,"70292 Lynn Stravenue, Christopherview, IN 95768",2021-11-29,2022-06-19,Churned,9,Frequent Shopper,Mollyview,Paid Ads,2022-08-20,Rarely,MegaLaptop,Electronics,Laptop,80,2020-11-09,-1,2,Only beautiful benefit total human season.
548,Brian Rose,10,F,Perezshire,Jordan,2610280035983994,"879 Nicholas Plains, New Michele, ID 79107",2023-03-11,2023-03-23,Churned,5,Occasional Shopper,Kennedyburgh,Referral,2023-07-29,Yearly,TastyVegetables,Grocery,Vegetables,-24,2022-01-30,10,0,Vote remember set low give near sort.
